locality,date,value,year,month,variable
Elem,1970-01-01,20.130000000000003,1970,1,tmin
Morox,1970-01-01,20.580000000000002,1970,1,tmin
Niksek,1970-01-01,20.080000000000002,1970,1,tmin
Ohu,1970-01-01,20.040000000000003,1970,1,tmin
Utai,1970-01-01,19.810000000000002,1970,1,tmin
Wamangu,1970-01-01,19.720000000000002,1970,1,tmin
Wanang,1970-01-01,19.310000000000002,1970,1,tmin
Yapsiei,1970-01-01,19.640000000000004,1970,1,tmin
Elem,1970-02-01,19.680000000000003,1970,2,tmin
Morox,1970-02-01,19.830000000000002,1970,2,tmin
Niksek,1970-02-01,19.810000000000002,1970,2,tmin
Ohu,1970-02-01,19.92,1970,2,tmin
Utai,1970-02-01,21.740000000000002,1970,2,tmin
Wamangu,1970-02-01,22.21,1970,2,tmin
Wanang,1970-02-01,21.740000000000002,1970,2,tmin
Yapsiei,1970-02-01,21.770000000000003,1970,2,tmin
Elem,1970-03-01,21.740000000000002,1970,3,tmin
Morox,1970-03-01,21.490000000000002,1970,3,tmin
Niksek,1970-03-01,21.03,1970,3,tmin
Ohu,1970-03-01,21.200000000000003,1970,3,tmin
Utai,1970-03-01,21.130000000000003,1970,3,tmin
Wamangu,1970-03-01,21.51,1970,3,tmin
Wanang,1970-03-01,21.480000000000004,1970,3,tmin
Yapsiei,1970-03-01,21.590000000000003,1970,3,tmin
Elem,1970-04-01,21.21,1970,4,tmin
Morox,1970-04-01,21.44,1970,4,tmin
Niksek,1970-04-01,21.020000000000003,1970,4,tmin
Ohu,1970-04-01,20.880000000000003,1970,4,tmin
Utai,1970-04-01,21.01,1970,4,tmin
Wamangu,1970-04-01,20.840000000000003,1970,4,tmin
Wanang,1970-04-01,20.35,1970,4,tmin
Yapsiei,1970-04-01,20.470000000000002,1970,4,tmin
Elem,1970-05-01,20.770000000000003,1970,5,tmin
Morox,1970-05-01,21.180000000000003,1970,5,tmin
Niksek,1970-05-01,20.810000000000002,1970,5,tmin
Ohu,1970-05-01,20.970000000000002,1970,5,tmin
Utai,1970-05-01,21.750000000000004,1970,5,tmin
Wamangu,1970-05-01,22.400000000000002,1970,5,tmin
Wanang,1970-05-01,21.810000000000002,1970,5,tmin
Yapsiei,1970-05-01,21.96,1970,5,tmin
Elem,1970-06-01,21.390000000000004,1970,6,tmin
Morox,1970-06-01,21.37,1970,6,tmin
Niksek,1970-06-01,20.750000000000004,1970,6,tmin
Ohu,1970-06-01,20.770000000000003,1970,6,tmin
Utai,1970-06-01,21.020000000000003,1970,6,tmin
Wamangu,1970-06-01,21.330000000000002,1970,6,tmin
