"","Acco albicosta","Acontiinae sp. AAG0292","Addaea heliopsamma","Addaea nr. probolopsis","Addaea pusilla","Addaea sp. AAL8409","Addaea syndesma","Adoxophyes fasciculana","Adoxophyes sp. AAA9592","Adoxophyes sp. AAB5052","Adoxophyes templana complex","Adoxophyes thoracica","Adoxophyes tripselia","Aetholix flavibasalis","Agriophara sp. AAD4601","Agriophara sp. AAD4602","Agrotera genuflexa","Agrotera ignepictoides","Agrotera nr. effertalis","Agrotera sp. AAJ7071","Albinospila sp. AAB0430","Albinospila sp. AAB0431","Albinospila sp. AAB0432","Albinospila sp. AAH9003","Albinospila syntyche","Anomis flava","Anthela nr. ekeikei","Archigraptis chrysodema","Arctornis sp. AAE6183","Arctornis sp.1 SEM-2008 nr. intacta","Arctornis sp.2 SEM-2008 nr. intacta","Arctornis sp.3 SEM-2008 nr. intacta","Arctornis sp.4 SEM-2008 nr. intacta","Ardozyga nr. amphiplaca","Ardozyga sp. AAE6214","Arhopala sp. AAC8740","Arhopala sp. AAC8743","Arhopala sp. ABZ4430","Arhopala thamyras","Arna nr. galactopis","Artaxa sp. AAB8719","Artaxa sp. AAD5374","Asota caricae","Asota eusemioides","Asota heliconia","Asota plana","Barasa cymatistis","Berta albiplaga","Berta sp. AAD4670","Brenthia JR39","Brenthia sp. AAC1202","Brenthia sp. AAC1206","Brenthia sp. AAF6821","Brenthia sp. AAI3833","Brenthia sp. AAI3835","Brenthia sp. AAI3836","Brenthia sp. AAL5584","Brenthia sp. JR22","Brenthia sp. JR24","Brenthia sp. JR32","Brenthia sp. JR34","Brenthia sp. JR37","Brenthia sp. JR53","Brenthia sp. JR54","Brenthia sp. JR62","Caeneressa bernhardi","Calindoea dorilusalis","Cangetta cf. rectilinea","Cathyalia sp. AAG0397","Catoria delectaria","Chaetocneme lunula","Chaetocneme sp. AAF8537","Chalcidoptera emissalis","Chamaita sp. AAD7699","Chamaita sp. AAE1114","Chora ekeikei","Chora huntei","Choreutidae sp. TORT179","Choreutis basalis","Choreutis cf. anthorma","Choreutis chi","Choreutis lutescens","Choreutis sp. JR06","Choreutis sp. JR07","Choreutis sp. JR08","Choreutis sp. JR09","Choreutis sp. JR2","Choreutis sp. JR5","Choreutis tricyanitis","Chrysocraspeda nr. inundata","Chrysocraspeda praegriseata","Chrysocraspeda sp. AAB1427","Chrysocraspeda sp. AAC8547","Chrysoscota vagivitta","Cirrhochrista cf. brizoalis","Cirrhochrista xanthographis","Cleora repetita","Coelorhyncidia nitidalis","Copromorphidae sp. AAG0483","Copromorphidae sp. AAG3732","Copromorphidae sp. AAH4359","Cotana sp. AAI6038","Crambidae sp.CRAM082","Crambidae sp.CRAM097","Crambidae sp.PYRA038","Cryptoblabes sp. AAG0395","Cyclophora sp. AAF7883","Cyclophora sp. AAF7884","Cyrestis acilia","Darantasia caerulescens","Delonoma pyrrhoplecta","Derambila strigicosta","Dichomeris n. sp. nr. ochreoviridella","Dichomeris ochreoviridella","Dichomeris sp. AAA9076","Dichomeris sp. AAB2697","Dichomeris sp. AAI6257","Dichomeris sp. XXXX068","Dichomeris sp. XXXX120","Dilophothripa sp. AAL1093","Dizuga recusataria","Drepanidae sp. GEOM161","Dudua sp. AAB0663","Dudua sp. AAT9574","Dysaethria sp. AAN5052","Ectropis bhurmitra","Eilema plana","Elachyophtalma cf. kebeae","Erebidae sp. ABX2239","Erebidae sp. ABY3889","Eucyclodes absona","Eucyclodes albilauta","Eucyclodes sp. ACF0440","Eugoa nr. perfasciata","Euploea leucostictos","Focillodes sp. AAZ9141","Gabala australiata","Garudinodes nr. trizona","Gauna phaealis","Gauna sp. AAF4890","Gelechiidae sp. AAL8352","Gelechiidae sp. AAN5589","Gelechiidae sp.TORT188","Gelechioidea sp. AAH4361","Gelechioidea sp.TORT193","Gelechioidea sp.XXXX126","Geometridae sp.GEOM056","Geometridae sp.GEOM138","Geometridae sp.GEOM143","Geometridae sp.GEOM147","Geometridae sp.GEOM148","Geometridae sp.GEOM163","Geometrinae sp. GEOM141","Glyphodes canthusalis","Glyphodes doleschalii","Glyphodes margaritaria","Glyphodes nr. caesalis","Glyphodes pseudocaesalis","Gnathothlibus heliodes","Gymnasura sp. USNM2","Gymnasura sp. USNM9","Haritalodes sp. AAB8316","Helcystogramma sp. AAI2045","Herminiinae sp. AAL8411","Heterocnephes scapulalis","Holocola n. sp. AAC7734","Homodes iomolybda","Homona aestivana","Homona auriga","Homona mermerodes","Homona spargotis","Homona trachyptera","Hydroclada antigona","Hypatima discissa","Hypolycaena phorbas","Hypomecis infaustaria","Hyposidra incomptaria","Hyposidra talaca","Hypsopygia nigrivitta","Idiophantis n. sp. AAB7063","Idiophantis n. sp. AAB7064","Idiophantis n. sp. AAZ1655","Idiophantis sp. XXXX124","Imma monastica","Imma sp. AAD4328","Imma sp. AAD4329","Imma sp. AAF9965","Imma sp. AAI2315","Imma sp. AAL8336","Immidae sp. OECO005","Isotenes sp. AAC7573","Isotenes sp. AAC7575","Jodis albifusa","Jodis sp. AAE5694","Jodis sp. AAO0087","Labdia sp. AAH4360","Lactura rhodographa","Lactura sp. AAI2177","Lambula agraphia","Lambula sp. ACE6062","Lambula sp. USNM1","Lambula sp. USNM5","Lecithocera sp. AAI1270","Lecithocera sp. AAI1271","Lecithocera sp. AAI1272","Lepidoptera sp. AAH4358","Lepidoptera sp.XXXX128","Lepidoptera sp.XXXX137","Lepidoptera sp.XXXX138","Lepidoptera sp.XXXX140","Lepidoptera sp.XXXX141","Lepidoptera sp.XXXX145","Lepidoptera sp.XXXX150","Leucoma sp. ABU6384","Limacodidae sp. LIMA007","Lista carniola","Lithosiinae sp.PYRA039","Lithosiinae sp.TORT189","Lithosiinae sp.XXXX149","Loboschiza exemplaris","Lophopepla sp. AAI1091","Luxiaria undulataria plumbocaerula","Lymantria novaguineensis","Lymantria sp. LYMA069","Lymantriidae sp.LYMA067","Lymantriidae sp.LYMA072","Lymantriidae sp.LYMA077","Lymantriinae sp. AAG9399","Lymantriinae sp.LYMA045","Macarostola sp. AAI1170","Macarostola sp. AAI1171","Macroglossum melas pullius","Macroglossum troglodytus papuanum","Macrothyma sanguinolenta","Mambara sp. AAK7402","Mambara sp. AAL3983","Marapana pulverata","Mecistoptera franzwagneri","Mecistoptera n. sp. AAB6947","Mecistoptera sophiewagnerae","Meekiaria nigriscriptalis","Meekiaria purpurea","Meekiaria sp. AAA3374","Meekiaria sp. AAA3375","Meekiaria sp. AAA3376","Meekiaria sp. AAA3378","Meekiaria sp. AAA3379","Meekiaria sp. AAA3380","Meekiaria sp. AAJ1732","Meekiaria sp. CRAM151","Mellea hieroglyphica","Mellea nitida","Mellea ordinaria complex","Mellea ramifera","Mellea rectiviata","Mellea sp. 1 nr. ordinaria","Mellea sp. AAA9701","Mellea sp. AAI1456","Mellea sp. AAI1457","Mellea sp. AAI1458","Mellea sp. AAI1460","Mellea sp. AAI1461","Metaphoenia sp. AAI1563","Microstola sp. AAH2579","Moca ancistrota","Moca congrualis","Nacaduba berenice","Nausinoe globulipedalis","Nicetosoma niceta","Noctuidae sp. AAG0293","Noctuidae sp.GEOM149","Noctuidae sp.NOCT095","Noctuidae sp.NOCT097","Noctuidae sp.NOCT100","Noctuidae sp.NOCT104","Noctuidae sp.NOCT117","Noctuidae sp.NOCT119","Noctuidae sp.NOCT121","Noctuidae sp.NOCT123","Nolidae sp. AAH3366","Nolidae sp. AAH3367","Nolidae sp.NOLI002","Nolidae sp.TORT194","Notarcha sp. ACE6204","Nothomastix klossi","nr. Peritornenta sp. XXXX127","Nudaria sp. USNM2","Nycteola indicatana","Nycteola n. sp. AAB7439","Nycteola nr. pseudoindica","Oecophoridae sp. AAH7348","Oecophorinae sp. AAF9711","Oenospila sp. AAB6770","Oenospila sp. AAD3332","Olene nr. mendosa","Omiodes lasiocnemis","Ophiorrhabda deceptor","Ophyx crinipes","Orthaga melanoperalis","Orthaga nr. percnodes","Orvasca sp. AAD8421","Orvasca sp. AAG9398","Orvasca sp. ADH2494","Paradromulia sp. AAC7920","Paraphomia disjuncta","Paraphomia sp. AAI2622","Parilyrgis intacta","Parotis hilaralis","Peritornenta sp. AAL8315","Perixera ampligutta","Perixera sp. AAI2524","Perixera sp. AAI2525","Pharambara micacealis","Pharambara splendida","Philiris helena","Philiris moira","Philiris sp. AAF6866","Phostria lanialis","Phycitinae sp. AAG0392","Phycitinae sp. AAG0396","Piletocera sp. AAG3027","Pingasa chlora","Pinzulenza kukisch","Piratisca minax","Pleuroptya nr. sabinusalis","Polygiton sp. AAH1014","Polypogon sp. AAI2776","Pseudocera nr. trissosticha","Pseudocera sp. AAB1481","Pseudodirades nr. alabastraria","Pterophoridae sp. AAG1468","Pterophorus albidus","Purpurata sp. AAL9983","Pycnozancla sp. AAE8365","Pyralidae sp.PYRA032","Pyralidae sp.PYRA035","Pyrophractis isotherma","Rehimena cissophora","Rhodoneura aurata","Roeselia hemizona","Saptha cf. exanthista","Sarobides inconclusa","Scopelodes nitens","Scopula amala","Scopula sp. AAG9552","Scythropiodes sp. AAD9083","Selepa discigera","Simplicia cornicalis","Simplicia erebina","Simplicia sp. NOCT120","Somena sp. ACM4686","Sphenarches anisodactylus","Spilomelinae sp. AAG3026","Sporostigena sp. AAJ3512","Statherotis discana","Striglina asinina","Striglina cinnamomea","Syllepte solilucis","Symmacra solidaria ochrea","Syntomaula n sp","Tabidia insanalis","Talanga deliciosa","Talanga excelsalis","Talanga polyzonalis","Talanga sexpunctalis complex","Tamba kebea","Tamba sp. AAE9702","Tamba sp. AAH0984","Tamba sp. NOCT125","Targalla palliatrix","Targalla subocellata","Targalla suffundens","Teia sp. AAB5680","Teia sp. AAE9809","Teia sp. AAI3599","Teia sp. ABX5688","Teldenia sp. GEOM165","Thosea monoloncha?","Tipasa sp. AAE7338","Tipasa sp. AAI0376","Tipasa sp. AAI0377","Tortricidae sp.TORT100","Tortricidae sp.TORT175","Tortricidae sp.TORT205","Tortricidae sp.TORT207","Tortricidae sp.XXXX123","Trichalis nr. aereoplagiata","Trischalis iridescens","Unadophanes trissomita","Uraniidae sp.URAN012","Uraniidae sp.URAN013","Uraniidae sp.URAN014","Xenolepis neoguineana","Xenolepis sp. AAG0327","Xenothictis gnetivora","Xylinophylla maculata","Xyloryctinae sp. XYLO001","Zaratha nr. plumbilinea","Zygaenosia sp. USNM1"
"BER",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,15,4,0,0,133,264,0,0,0,0,0,0,0,0,0,1,0,0,0,201,389,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CON",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,364,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COP",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,481,0,0,0,0,1,0,8,0,0,0,0,0,0,29,0,0,0,24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1421,89,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAM",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,7,557,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74,3,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,65,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAA",0,3,0,1,197,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,4,102,4,39,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,47,0,6,6,203,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,198,8,0,1,15,82,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,9,0,1,1,0,407,7,0,0,0,0,0,0,0,5,183,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,450,0,0,0,0,0,0,0,0,0,1
"MAC",0,0,0,0,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,3,0,0,0,0,5,0,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"MAF",0,1,0,0,160,0,1,0,0,4,2,0,1,0,0,2,0,0,0,0,46,0,0,0,14,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,53,8,0,0,0,484,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,133,1,0,1,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,174,11,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0
"MAP",0,0,0,1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,3,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"MAQ",0,0,0,0,200,0,2,0,39,4,1,1,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,36,0,0,0,4,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,74,0,9,5,5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,703,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,272,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
