"locality","month","variable","clim_value"
"Elem",1,"tmin",20.3583333333333
"Elem",1,"tmax",31.2722222222222
"Elem",1,"tavg",25.8152777777778
"Elem",1,"ppt",360.927777777778
"Elem",2,"tmin",20.4722222222222
"Elem",2,"tmax",30.9916666666667
"Elem",2,"tavg",25.7319444444444
"Elem",2,"ppt",351.441666666667
"Elem",3,"tmin",20.3416666666667
"Elem",3,"tmax",30.9333333333333
"Elem",3,"tavg",25.6375
"Elem",3,"ppt",382.738888888889
"Elem",4,"tmin",20.3472222222222
"Elem",4,"tmax",31.0111111111111
"Elem",4,"tavg",25.6791666666667
"Elem",4,"ppt",326.708333333333
"Elem",5,"tmin",20.4611111111111
"Elem",5,"tmax",31.0972222222222
"Elem",5,"tavg",25.7791666666667
"Elem",5,"ppt",240.908333333333
"Elem",6,"tmin",20.1444444444444
"Elem",6,"tmax",30.8083333333333
"Elem",6,"tavg",25.4763888888889
"Elem",6,"ppt",142.580555555556
"Elem",7,"tmin",19.7555555555556
"Elem",7,"tmax",30.2916666666667
"Elem",7,"tavg",25.0236111111111
"Elem",7,"ppt",140.25
"Elem",8,"tmin",19.9861111111111
"Elem",8,"tmax",30.8833333333333
"Elem",8,"tavg",25.4347222222222
"Elem",8,"ppt",149.983333333333
"Elem",9,"tmin",20.1527777777778
"Elem",9,"tmax",31.175
"Elem",9,"tavg",25.6638888888889
"Elem",9,"ppt",173.361111111111
"Elem",10,"tmin",20.275
"Elem",10,"tmax",31.2722222222222
"Elem",10,"tavg",25.7736111111111
"Elem",10,"ppt",241.894444444444
"Elem",11,"tmin",20.275
"Elem",11,"tmax",31.2611111111111
"Elem",11,"tavg",25.7680555555556
"Elem",11,"ppt",322.883333333333
"Elem",12,"tmin",20.6916666666667
"Elem",12,"tmax",31.0833333333333
"Elem",12,"tavg",25.8875
"Elem",12,"ppt",388.877777777778
"Morox",1,"tmin",22.1666666666667
"Morox",1,"tmax",31.925
"Morox",1,"tavg",27.0458333333333
"Morox",1,"ppt",207.147222222222
"Morox",2,"tmin",22.0666666666667
"Morox",2,"tmax",31.6277777777778
"Morox",2,"tavg",26.8472222222222
"Morox",2,"ppt",215.666666666667
"Morox",3,"tmin",21.8416666666667
"Morox",3,"tmax",31.4888888888889
"Morox",3,"tavg",26.6652777777778
"Morox",3,"ppt",237.511111111111
"Morox",4,"tmin",21.7611111111111
"Morox",4,"tmax",31.6861111111111
"Morox",4,"tavg",26.7236111111111
"Morox",4,"ppt",213.555555555556
"Morox",5,"tmin",21.9277777777778
"Morox",5,"tmax",32.0888888888889
"Morox",5,"tavg",27.0083333333333
"Morox",5,"ppt",154.802777777778
"Morox",6,"tmin",21.5416666666667
"Morox",6,"tmax",31.7916666666667
"Morox",6,"tavg",26.6666666666667
"Morox",6,"ppt",91.6611111111111
"Morox",7,"tmin",21.0305555555556
"Morox",7,"tmax",31.6027777777778
"Morox",7,"tavg",26.3166666666667
"Morox",7,"ppt",86.1333333333333
"Morox",8,"tmin",21.1333333333333
"Morox",8,"tmax",32.2277777777778
"Morox",8,"tavg",26.6805555555556
"Morox",8,"ppt",83.7555555555556
"Morox",9,"tmin",21.3166666666667
"Morox",9,"tmax",32.2722222222222
"Morox",9,"tavg",26.7944444444444
"Morox",9,"ppt",96.7861111111111
"Morox",10,"tmin",21.9666666666667
"Morox",10,"tmax",32.2444444444444
"Morox",10,"tavg",27.1055555555556
"Morox",10,"ppt",156.597222222222
"Morox",11,"tmin",22.0527777777778
"Morox",11,"tmax",31.9555555555556
"Morox",11,"tavg",27.0041666666667
"Morox",11,"ppt",240.452777777778
"Morox",12,"tmin",22.2833333333333
"Morox",12,"tmax",31.9611111111111
"Morox",12,"tavg",27.1222222222222
"Morox",12,"ppt",239.197222222222
"Niksek",1,"tmin",21.0694444444444
"Niksek",1,"tmax",31.4527777777778
"Niksek",1,"tavg",26.2611111111111
"Niksek",1,"ppt",298.725
"Niksek",2,"tmin",21.1805555555556
"Niksek",2,"tmax",31.0666666666667
"Niksek",2,"tavg",26.1236111111111
"Niksek",2,"ppt",333.280555555556
"Niksek",3,"tmin",21.1444444444444
"Niksek",3,"tmax",31.2305555555556
"Niksek",3,"tavg",26.1875
"Niksek",3,"ppt",379.222222222222
"Niksek",4,"tmin",21.3583333333333
"Niksek",4,"tmax",31.3166666666667
"Niksek",4,"tavg",26.3375
"Niksek",4,"ppt",301.9
"Niksek",5,"tmin",21.5416666666667
"Niksek",5,"tmax",31.1138888888889
"Niksek",5,"tavg",26.3277777777778
"Niksek",5,"ppt",253.963888888889
"Niksek",6,"tmin",21.325
"Niksek",6,"tmax",30.6277777777778
"Niksek",6,"tavg",25.9763888888889
"Niksek",6,"ppt",176.986111111111
"Niksek",7,"tmin",20.9472222222222
"Niksek",7,"tmax",29.9055555555556
"Niksek",7,"tavg",25.4263888888889
