"locality","month","year","variable","value"
"Elem",1,1970,"tmin",20
"Elem",1,1970,"tmax",30.7
"Elem",1,1970,"tavg",25.35
"Elem",1,1970,"ppt",341.2
"Elem",2,1970,"tmin",20.5
"Elem",2,1970,"tmax",29.6
"Elem",2,1970,"tavg",25.05
"Elem",2,1970,"ppt",362.3
"Elem",3,1970,"tmin",20.5
"Elem",3,1970,"tmax",29.7
"Elem",3,1970,"tavg",25.1
"Elem",3,1970,"ppt",473.5
"Elem",4,1970,"tmin",20.4
"Elem",4,1970,"tmax",30.7
"Elem",4,1970,"tavg",25.55
"Elem",4,1970,"ppt",354.5
"Elem",5,1970,"tmin",20
"Elem",5,1970,"tmax",30.8
"Elem",5,1970,"tavg",25.4
"Elem",5,1970,"ppt",198.7
"Elem",6,1970,"tmin",20.1
"Elem",6,1970,"tmax",30.6
"Elem",6,1970,"tavg",25.35
"Elem",6,1970,"ppt",100.4
"Elem",7,1970,"tmin",19.3
"Elem",7,1970,"tmax",29.9
"Elem",7,1970,"tavg",24.6
"Elem",7,1970,"ppt",97.5
"Elem",8,1970,"tmin",19.5
"Elem",8,1970,"tmax",30.7
"Elem",8,1970,"tavg",25.1
"Elem",8,1970,"ppt",94.9
"Elem",9,1970,"tmin",19.6
"Elem",9,1970,"tmax",30.6
"Elem",9,1970,"tavg",25.1
"Elem",9,1970,"ppt",151.8
"Elem",10,1970,"tmin",20.2
"Elem",10,1970,"tmax",30.4
"Elem",10,1970,"tavg",25.3
"Elem",10,1970,"ppt",229.3
"Elem",11,1970,"tmin",20
"Elem",11,1970,"tmax",30.6
"Elem",11,1970,"tavg",25.3
"Elem",11,1970,"ppt",284.3
"Elem",12,1970,"tmin",20.3
"Elem",12,1970,"tmax",30.3
"Elem",12,1970,"tavg",25.3
"Elem",12,1970,"ppt",400.8
"Morox",1,1970,"tmin",21.8
"Morox",1,1970,"tmax",31.2
"Morox",1,1970,"tavg",26.5
"Morox",1,1970,"ppt",185.4
"Morox",2,1970,"tmin",21.9
"Morox",2,1970,"tmax",30.3
"Morox",2,1970,"tavg",26.1
"Morox",2,1970,"ppt",310
"Morox",3,1970,"tmin",21.6
"Morox",3,1970,"tmax",30.5
"Morox",3,1970,"tavg",26.05
"Morox",3,1970,"ppt",282.4
"Morox",4,1970,"tmin",21.6
"Morox",4,1970,"tmax",31.5
"Morox",4,1970,"tavg",26.55
"Morox",4,1970,"ppt",207.1
"Morox",5,1970,"tmin",21.8
"Morox",5,1970,"tmax",31.5
"Morox",5,1970,"tavg",26.65
"Morox",5,1970,"ppt",140.8
"Morox",6,1970,"tmin",21.7
"Morox",6,1970,"tmax",31.4
"Morox",6,1970,"tavg",26.55
"Morox",6,1970,"ppt",75.2
"Morox",7,1970,"tmin",20.8
"Morox",7,1970,"tmax",31.2
"Morox",7,1970,"tavg",26
"Morox",7,1970,"ppt",59.5
"Morox",8,1970,"tmin",20.9
"Morox",8,1970,"tmax",31.6
"Morox",8,1970,"tavg",26.25
"Morox",8,1970,"ppt",68.7
"Morox",9,1970,"tmin",20.9
"Morox",9,1970,"tmax",31.4
"Morox",9,1970,"tavg",26.15
"Morox",9,1970,"ppt",115.4
"Morox",10,1970,"tmin",21.6
"Morox",10,1970,"tmax",31.3
"Morox",10,1970,"tavg",26.45
"Morox",10,1970,"ppt",209.1
"Morox",11,1970,"tmin",21.6
"Morox",11,1970,"tmax",31.3
"Morox",11,1970,"tavg",26.45
"Morox",11,1970,"ppt",181.8
"Morox",12,1970,"tmin",22
"Morox",12,1970,"tmax",31.3
"Morox",12,1970,"tavg",26.65
"Morox",12,1970,"ppt",246.6
"Niksek",1,1970,"tmin",20.6
"Niksek",1,1970,"tmax",30.9
"Niksek",1,1970,"tavg",25.75
"Niksek",1,1970,"ppt",320.5
"Niksek",2,1970,"tmin",21
"Niksek",2,1970,"tmax",29.6
"Niksek",2,1970,"tavg",25.3
"Niksek",2,1970,"ppt",390.8
"Niksek",3,1970,"tmin",21.1
"Niksek",3,1970,"tmax",30
"Niksek",3,1970,"tavg",25.55
"Niksek",3,1970,"ppt",388.5
