"locality","variant","network","H2"
"Elem","full","Parasitoid-Caterpillar",0.688486369767788
"Morox","full","Parasitoid-Caterpillar",0.550664809874943
"Niksek","full","Parasitoid-Caterpillar",0.769301804857208
"Ohu1","full","Parasitoid-Caterpillar",0.781255266774851
"Utai","full","Parasitoid-Caterpillar",0.698594661610427
"Wamangu","full","Parasitoid-Caterpillar",0.748002237036315
"Wanang","full","Parasitoid-Caterpillar",0.800112526393205
"Yapsiei","full","Parasitoid-Caterpillar",0.554358610810335
"Elem","min5_cons","Parasitoid-Caterpillar",0.746109375111147
"Morox","min5_cons","Parasitoid-Caterpillar",0.565463609391112
"Niksek","min5_cons","Parasitoid-Caterpillar",0.776108700621464
"Ohu1","min5_cons","Parasitoid-Caterpillar",0.796829840548828
"Utai","min5_cons","Parasitoid-Caterpillar",0.689725169772136
"Wamangu","min5_cons","Parasitoid-Caterpillar",0.774214540347819
"Wanang","min5_cons","Parasitoid-Caterpillar",0.802467677310435
"Yapsiei","min5_cons","Parasitoid-Caterpillar",0.567365986238081
"Elem","min5_both","Parasitoid-Caterpillar",0.74610937511115
"Morox","min5_both","Parasitoid-Caterpillar",0.567023657645967
"Niksek","min5_both","Parasitoid-Caterpillar",0.776108700621464
"Ohu1","min5_both","Parasitoid-Caterpillar",0.796702679427383
"Utai","min5_both","Parasitoid-Caterpillar",0.689725169772136
"Wamangu","min5_both","Parasitoid-Caterpillar",0.774214540347819
"Wanang","min5_both","Parasitoid-Caterpillar",0.802467677310435
"Yapsiei","min5_both","Parasitoid-Caterpillar",0.567365986238081
"Elem","full","Caterpillar-Plant",0.790675391930164
"Morox","full","Caterpillar-Plant",0.863314064486179
"Niksek","full","Caterpillar-Plant",0.896317432131462
"Ohu1","full","Caterpillar-Plant",0.770121036027142
"Utai","full","Caterpillar-Plant",0.885571788195792
"Wamangu","full","Caterpillar-Plant",0.826201554962926
"Wanang","full","Caterpillar-Plant",0.865048924843261
"Yapsiei","full","Caterpillar-Plant",0.843088937830007
"Elem","min5_cons","Caterpillar-Plant",0.79034383588386
"Morox","min5_cons","Caterpillar-Plant",0.863106577852291
"Niksek","min5_cons","Caterpillar-Plant",0.896093059449683
"Ohu1","min5_cons","Caterpillar-Plant",0.770058619529708
"Utai","min5_cons","Caterpillar-Plant",0.885093302356488
"Wamangu","min5_cons","Caterpillar-Plant",0.823794101647717
"Wanang","min5_cons","Caterpillar-Plant",0.86465051033606
"Yapsiei","min5_cons","Caterpillar-Plant",0.842414159796365
"Elem","min5_both","Caterpillar-Plant",0.79034383588386
"Morox","min5_both","Caterpillar-Plant",0.863106577852291
"Niksek","min5_both","Caterpillar-Plant",0.896093059449683
"Ohu1","min5_both","Caterpillar-Plant",0.770058619529708
"Utai","min5_both","Caterpillar-Plant",0.885093302356488
"Wamangu","min5_both","Caterpillar-Plant",0.823794101647717
"Wanang","min5_both","Caterpillar-Plant",0.86465051033606
"Yapsiei","min5_both","Caterpillar-Plant",0.842414159796365
