"locality","variant","network","H2"
"Elem","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.74610937511115
"Morox","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.567023657645967
"Niksek","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.776108700621464
"Ohu1","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.796702679427383
"Utai","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.689725169772136
"Wamangu","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.774214540347819
"Wanang","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.802467677310435
"Yapsiei","≥5 reared specimens (parasitoids & caterpillars)","Parasitoid-Caterpillar",0.567365986238081
"Elem","All species (no threshold)","Parasitoid-Caterpillar",0.688486369767788
"Morox","All species (no threshold)","Parasitoid-Caterpillar",0.550664809874943
"Niksek","All species (no threshold)","Parasitoid-Caterpillar",0.769301804857208
"Ohu1","All species (no threshold)","Parasitoid-Caterpillar",0.781255266774851
"Utai","All species (no threshold)","Parasitoid-Caterpillar",0.698594661610427
"Wamangu","All species (no threshold)","Parasitoid-Caterpillar",0.748002237036315
"Wanang","All species (no threshold)","Parasitoid-Caterpillar",0.800112526393205
"Yapsiei","All species (no threshold)","Parasitoid-Caterpillar",0.554358610810335
"Elem","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.79034383588386
"Morox","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.863106577852291
"Niksek","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.896093059449683
"Ohu1","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.770058619529708
"Utai","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.885093302356488
"Wamangu","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.823794101647717
"Wanang","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.86465051033606
"Yapsiei","≥5 reared specimens (parasitoids & caterpillars)","Caterpillar-Plant",0.842414159796365
"Elem","All species (no threshold)","Caterpillar-Plant",0.790675391930164
"Morox","All species (no threshold)","Caterpillar-Plant",0.863314064486179
"Niksek","All species (no threshold)","Caterpillar-Plant",0.896317432131462
"Ohu1","All species (no threshold)","Caterpillar-Plant",0.770121036027142
"Utai","All species (no threshold)","Caterpillar-Plant",0.885571788195792
"Wamangu","All species (no threshold)","Caterpillar-Plant",0.826201554962926
"Wanang","All species (no threshold)","Caterpillar-Plant",0.865048924843261
"Yapsiei","All species (no threshold)","Caterpillar-Plant",0.843088937830007
