"index_type","dataset","group","mean_dissimilarity","sd_dissimilarity","n_species"
"bray","All data","All",0.787,0.051,285
"bray","All data","Common",0.752,0.059,57
"bray","All data","Rare",0.916,0.047,228
"bray","Common Plants Only","All",0.809,0.054,201
"bray","Common Plants Only","Common",0.779,0.066,57
"bray","Common Plants Only","Rare",0.932,0.05,144
"bray","Common Caterpillars Only","All",0.785,0.052,257
"bray","Common Caterpillars Only","Common",0.751,0.06,56
"bray","Common Caterpillars Only","Rare",0.923,0.048,201
"chao-sorensen","All data","All",0.413,0.168,285
"chao-sorensen","All data","Common",0.34,0.175,57
"chao-sorensen","All data","Rare",0.804,0.138,228
"chao-sorensen","Common Plants Only","All",0.4,0.192,201
"chao-sorensen","Common Plants Only","Common",0.336,0.193,57
"chao-sorensen","Common Plants Only","Rare",0.875,0.098,144
"chao-sorensen","Common Caterpillars Only","All",0.392,0.181,257
"chao-sorensen","Common Caterpillars Only","Common",0.326,0.18,56
"chao-sorensen","Common Caterpillars Only","Rare",0.831,0.117,201
"sorensen","All data","All",0.681,0.074,285
"sorensen","All data","Common",0.415,0.09,57
"sorensen","All data","Rare",0.881,0.063,228
"sorensen","Common Plants Only","All",0.688,0.066,201
"sorensen","Common Plants Only","Common",0.472,0.083,57
"sorensen","Common Plants Only","Rare",0.913,0.057,144
"sorensen","Common Caterpillars Only","All",0.671,0.072,257
"sorensen","Common Caterpillars Only","Common",0.412,0.09,56
"sorensen","Common Caterpillars Only","Rare",0.89,0.065,201
