"index_type","dataset","group_1","group_2","n_pairs","W_statistic","p_value","significance"
"bray","All data","All","Common",28,531,"0.023","*"
"bray","All data","All","Rare",28,29,"<0.001","***"
"bray","All data","Common","Rare",28,16,"<0.001","***"
"bray","Common Caterpillars Only","All","Common",28,528,"0.026","*"
"bray","Common Caterpillars Only","All","Rare",28,25,"<0.001","***"
"bray","Common Caterpillars Only","Common","Rare",28,14,"<0.001","***"
"bray","Common Plants Only","All","Common",28,503,"0.070","ns"
"bray","Common Plants Only","All","Rare",28,34,"<0.001","***"
"bray","Common Plants Only","Common","Rare",28,19,"<0.001","***"
"chao-sorensen","All data","All","Common",28,497,"0.087","ns"
"chao-sorensen","All data","All","Rare",28,26,"<0.001","***"
"chao-sorensen","All data","Common","Rare",28,16,"<0.001","***"
"chao-sorensen","Common Caterpillars Only","All","Common",28,498,"0.084","ns"
"chao-sorensen","Common Caterpillars Only","All","Rare",28,10,"<0.001","***"
"chao-sorensen","Common Caterpillars Only","Common","Rare",28,5,"<0.001","***"
"chao-sorensen","Common Plants Only","All","Common",28,488,"0.118","ns"
"chao-sorensen","Common Plants Only","All","Rare",28,4,"<0.001","***"
"chao-sorensen","Common Plants Only","Common","Rare",28,3,"<0.001","***"
"sorensen","All data","All","Common",28,774,"<0.001","***"
"sorensen","All data","All","Rare",28,13,"<0.001","***"
"sorensen","All data","Common","Rare",28,0,"<0.001","***"
"sorensen","Common Caterpillars Only","All","Common",28,777,"<0.001","***"
"sorensen","Common Caterpillars Only","All","Rare",28,5,"<0.001","***"
"sorensen","Common Caterpillars Only","Common","Rare",28,0,"<0.001","***"
"sorensen","Common Plants Only","All","Common",28,770.5,"<0.001","***"
"sorensen","Common Plants Only","All","Rare",28,2.5,"<0.001","***"
"sorensen","Common Plants Only","Common","Rare",28,0,"<0.001","***"
