"CAT_sp","localities_total","localities_prop"
"Addaea nr. probolopsis",5,0.6
"Addaea pusilla",8,0.25
"Adoxophyes sp. AAA9592",8,0.75
"Adoxophyes sp. AAB5052",7,0.714285714285714
"Adoxophyes thoracica",7,0.857142857142857
"Adoxophyes tripselia",6,0.666666666666667
"Agriophara sp. AAD4602",3,0.666666666666667
"Agrotera genuflexa",5,0.4
"Agrotera ignepictoides",6,0.666666666666667
"Agrotera nr. effertalis",7,0.428571428571429
"Albinospila sp. AAB0430",8,0.75
"Arctornis sp.1 SEM-2008 nr. intacta",8,0.5
"Arctornis sp.2 SEM-2008 nr. intacta",3,0.666666666666667
"Arctornis sp.3 SEM-2008 nr. intacta",5,0.6
"Asota caricae",5,0
"Asota eusemioides",4,0.5
"Asota plana",6,0.333333333333333
"Brenthia JR39",3,0.333333333333333
"Brenthia sp. AAC1202",4,0.75
"Brenthia sp. AAC1206",3,0.666666666666667
"Brenthia sp. AAF6821",2,0.5
"Brenthia sp. AAI3833",4,0.75
"Brenthia sp. AAI3835",3,0.333333333333333
"Brenthia sp. AAL5584",2,0.5
"Brenthia sp. JR22",5,0.4
"Brenthia sp. JR32",6,0.5
"Brenthia sp. JR34",5,0.6
"Brenthia sp. JR37",5,0.6
"Brenthia sp. JR54",8,0.375
"Brenthia sp. JR62",6,0.333333333333333
"Cangetta cf. rectilinea",2,0.5
"Chamaita sp. AAD7699",2,0.5
"Chora huntei",4,0.75
"Choreutis basalis",8,0.25
"Choreutis cf. anthorma",8,0
"Choreutis chi",1,0
"Choreutis lutescens",8,0.125
"Choreutis sp. JR06",3,0.333333333333333
"Choreutis sp. JR09",3,0.666666666666667
"Choreutis sp. JR2",4,0.75
"Choreutis sp. JR5",5,0.6
"Chrysocraspeda nr. inundata",3,0.666666666666667
"Chrysocraspeda sp. AAB1427",3,0.666666666666667
"Chrysocraspeda sp. AAC8547",2,0.5
"Cirrhochrista xanthographis",5,0.6
"Coelorhyncidia nitidalis",7,0.285714285714286
"Copromorphidae sp. AAG0483",1,0
"Copromorphidae sp. AAG3732",2,0
"Dichomeris n. sp. nr. ochreoviridella",8,0
"Dichomeris ochreoviridella",8,0.5
"Dichomeris sp. AAB2697",4,0.75
"Dichomeris sp. XXXX068",8,0.25
"Dichomeris sp. XXXX120",7,0.428571428571429
"Dudua sp. AAB0663",5,0.6
"Euploea leucostictos",5,0.8
"Gauna phaealis",5,0.8
"Gauna sp. AAF4890",1,0
"Geometridae sp.GEOM056",1,0
"Glyphodes margaritaria",8,0.125
"Homona mermerodes",6,0.833333333333333
"Hyposidra incomptaria",5,0.8
"Hyposidra talaca",4,0.75
"Idiophantis n. sp. AAB7063",7,0.857142857142857
"Idiophantis n. sp. AAB7064",2,0.5
"Jodis albifusa",8,0.625
"Lactura rhodographa",1,0
"Lambula sp. USNM5",3,0.666666666666667
"Limacodidae sp. LIMA007",1,0
"Lista carniola",1,0
"Lymantriinae sp.LYMA045",1,0
"Macarostola sp. AAI1170",4,0.5
"Macroglossum melas pullius",7,0.857142857142857
"Macrothyma sanguinolenta",4,0.75
"Mecistoptera n. sp. AAB6947",4,0.75
"Mecistoptera sophiewagnerae",4,0.75
"Meekiaria nigriscriptalis",2,0.5
"Meekiaria purpurea",8,0
"Meekiaria sp. AAA3374",7,0
"Meekiaria sp. AAA3375",6,0.5
"Meekiaria sp. AAA3376",5,0.8
"Meekiaria sp. AAA3378",5,0.6
"Meekiaria sp. AAA3379",5,0.4
"Meekiaria sp. AAA3380",5,0.6
"Meekiaria sp. AAJ1732",3,0.666666666666667
"Meekiaria sp. CRAM151",2,0.5
"Mellea hieroglyphica",7,0.857142857142857
"Mellea nitida",8,0.125
"Mellea ordinaria complex",8,0.25
"Mellea ramifera",6,0
"Mellea rectiviata",4,0.75
"Mellea sp. 1 nr. ordinaria",7,0.428571428571429
"Mellea sp. AAA9701",8,0.5
"Mellea sp. AAI1456",6,0.333333333333333
"Mellea sp. AAI1457",3,0.666666666666667
"Mellea sp. AAI1458",2,0
"Mellea sp. AAI1460",1,0
"Mellea sp. AAI1461",3,0.666666666666667
"Moca congrualis",8,0.875
"Nothomastix klossi",1,0
"Nycteola n. sp. AAB7439",8,0.875
"Nycteola nr. pseudoindica",4,0.75
"Ophiorrhabda deceptor",8,0.375
"Ophyx crinipes",6,0.166666666666667
"Orthaga nr. percnodes",6,0.666666666666667
"Orvasca sp. AAD8421",3,0.666666666666667
"Paraphomia disjuncta",6,0.333333333333333
"Pharambara splendida",8,0.375
"Philiris helena",8,0
"Philiris moira",7,0.428571428571429
"Philiris sp. AAF6866",3,0.333333333333333
"Piletocera sp. AAG3027",1,0
"Pleuroptya nr. sabinusalis",3,0.666666666666667
"Pseudocera nr. trissosticha",3,0.333333333333333
"Pseudocera sp. AAB1481",3,0.666666666666667
"Pyrophractis isotherma",3,0.666666666666667
"Rhodoneura aurata",7,0.428571428571429
"Statherotis discana",1,0
"Talanga deliciosa",6,0.333333333333333
"Talanga excelsalis",8,0.125
"Talanga polyzonalis",6,0.833333333333333
"Talanga sexpunctalis complex",8,0.5
"Tamba kebea",8,0.25
"Targalla palliatrix",5,0.8
"Tipasa sp. AAI0377",1,0
"Unadophanes trissomita",8,0.25
"Xenolepis neoguineana",8,0.875
"Xenothictis gnetivora",7,0.571428571428571
