"CAT_sp","PAR_sp","localities_prop"
"Addaea nr. probolopsis","APAN124",0.8
"Addaea nr. probolopsis","BETH002",0.6
"Addaea nr. probolopsis","CHAL008",0.8
"Addaea nr. probolopsis","CHAL013",0.8
"Addaea nr. probolopsis","CHEL025",0.6
"Addaea nr. probolopsis","MICR034",0.8
"Addaea nr. probolopsis","MICR187",0.8
"Addaea nr. probolopsis","MICR272",0.8
"Addaea nr. probolopsis","TACH364",0.6
"Addaea nr. probolopsis","TACH519",0.8
"Addaea pusilla","AGAT055",0.625
"Addaea pusilla","APAN124",0.75
"Addaea pusilla","BETH002",0.875
"Addaea pusilla","CHAL008",0.75
"Addaea pusilla","CHEL005",0.375
"Addaea pusilla","ICHN077",0.875
"Addaea pusilla","ICHN166",0.75
"Addaea pusilla","ICHN167",0.875
"Addaea pusilla","MICR034",0.875
"Addaea pusilla","MICR272",0.875
"Addaea pusilla","ORGI004",0.875
"Addaea pusilla","TACH247",0.875
"Addaea pusilla","TACH285",0.875
"Addaea pusilla","TACH364",0.875
"Addaea pusilla","TACH438",0.875
"Adoxophyes sp. AAA9592","CHEL028",0.875
"Adoxophyes sp. AAA9592","MICR187",0.875
"Adoxophyes sp. AAB5052","ORGI004",0.857142857142857
"Adoxophyes sp. AAB5052","TACH026",0.857142857142857
"Adoxophyes thoracica","CENT007",0.857142857142857
"Adoxophyes tripselia","CHEL001",0.833333333333333
"Adoxophyes tripselia","MICR237",0.833333333333333
"Agriophara sp. AAD4602","CHEL001",0.666666666666667
"Agrotera genuflexa","BETH002",0.8
"Agrotera genuflexa","CHEL001",0.8
"Agrotera genuflexa","CHOR074",0.8
"Agrotera genuflexa","MICR174",0.8
"Agrotera genuflexa","MICR184",0.8
"Agrotera genuflexa","MICR240",0.8
"Agrotera genuflexa","MICR240a",0.8
"Agrotera genuflexa","TACH366",0.8
"Agrotera ignepictoides","AGAT028",0.833333333333333
"Agrotera ignepictoides","APAN117",0.833333333333333
"Agrotera ignepictoides","CHEL001",0.833333333333333
"Agrotera ignepictoides","CHOR074",0.833333333333333
"Agrotera ignepictoides","ICHN076",0.833333333333333
"Agrotera ignepictoides","MICR037",0.833333333333333
"Agrotera ignepictoides","MICR184",0.833333333333333
"Agrotera ignepictoides","MICR240",0.833333333333333
"Agrotera ignepictoides","TACH411",0.833333333333333
"Agrotera nr. effertalis","AGAT028",0.857142857142857
"Agrotera nr. effertalis","CHEL026",0.857142857142857
"Agrotera nr. effertalis","CHOR074",0.714285714285714
"Agrotera nr. effertalis","MICR006",0.857142857142857
"Agrotera nr. effertalis","MICR069",0.857142857142857
"Agrotera nr. effertalis","MICR074",0.857142857142857
"Agrotera nr. effertalis","MICR240",0.857142857142857
"Agrotera nr. effertalis","ROGAb01",0.857142857142857
"Agrotera nr. effertalis","TACH032",0.857142857142857
"Albinospila sp. AAB0430","ICHN178",0.875
"Albinospila sp. AAB0430","TACH019",0.875
