"CAT_sp","PAR_sp","localities_total"
"Addaea nr. probolopsis","APAN124",1
"Addaea nr. probolopsis","BETH002",2
"Addaea nr. probolopsis","CHAL008",1
"Addaea nr. probolopsis","CHAL013",1
"Addaea nr. probolopsis","CHEL025",2
"Addaea nr. probolopsis","MICR034",1
"Addaea nr. probolopsis","MICR187",1
"Addaea nr. probolopsis","MICR272",1
"Addaea nr. probolopsis","TACH364",2
"Addaea nr. probolopsis","TACH519",1
"Addaea pusilla","AGAT055",3
"Addaea pusilla","APAN124",2
"Addaea pusilla","BETH002",1
"Addaea pusilla","CHAL008",2
"Addaea pusilla","CHEL005",5
"Addaea pusilla","ICHN077",1
"Addaea pusilla","ICHN166",2
"Addaea pusilla","ICHN167",1
"Addaea pusilla","MICR034",1
"Addaea pusilla","MICR272",1
"Addaea pusilla","ORGI004",1
"Addaea pusilla","TACH247",1
"Addaea pusilla","TACH285",1
"Addaea pusilla","TACH364",1
"Addaea pusilla","TACH438",1
"Adoxophyes sp. AAA9592","CHEL028",1
"Adoxophyes sp. AAA9592","MICR187",1
"Adoxophyes sp. AAB5052","ORGI004",1
"Adoxophyes sp. AAB5052","TACH026",1
"Adoxophyes thoracica","CENT007",1
"Adoxophyes tripselia","CHEL001",1
"Adoxophyes tripselia","MICR237",1
"Agriophara sp. AAD4602","CHEL001",1
"Agrotera genuflexa","BETH002",1
"Agrotera genuflexa","CHEL001",1
"Agrotera genuflexa","CHOR074",1
"Agrotera genuflexa","MICR174",1
"Agrotera genuflexa","MICR184",1
"Agrotera genuflexa","MICR240",1
"Agrotera genuflexa","MICR240a",1
"Agrotera genuflexa","TACH366",1
"Agrotera ignepictoides","AGAT028",1
"Agrotera ignepictoides","APAN117",1
"Agrotera ignepictoides","CHEL001",1
"Agrotera ignepictoides","CHOR074",1
"Agrotera ignepictoides","ICHN076",1
"Agrotera ignepictoides","MICR037",1
"Agrotera ignepictoides","MICR184",1
"Agrotera ignepictoides","MICR240",1
"Agrotera ignepictoides","TACH411",1
"Agrotera nr. effertalis","AGAT028",1
"Agrotera nr. effertalis","CHEL026",1
"Agrotera nr. effertalis","CHOR074",2
"Agrotera nr. effertalis","MICR006",1
"Agrotera nr. effertalis","MICR069",1
"Agrotera nr. effertalis","MICR074",1
"Agrotera nr. effertalis","MICR240",1
"Agrotera nr. effertalis","ROGAb01",1
"Agrotera nr. effertalis","TACH032",1
"Albinospila sp. AAB0430","ICHN178",1
"Albinospila sp. AAB0430","TACH019",1
"Arctornis sp.1 SEM-2008 nr. intacta","APAN010",1
"Arctornis sp.1 SEM-2008 nr. intacta","APAN124",1
"Arctornis sp.1 SEM-2008 nr. intacta","ORGI030",1
"Arctornis sp.1 SEM-2008 nr. intacta","ROGA025",1
"Arctornis sp.1 SEM-2008 nr. intacta","TACH214",1
"Arctornis sp.1 SEM-2008 nr. intacta","TACH294",1
"Arctornis sp.1 SEM-2008 nr. intacta","TACH393",2
"Arctornis sp.1 SEM-2008 nr. intacta","TACH423",1
"Arctornis sp.1 SEM-2008 nr. intacta","TACH438",1
"Arctornis sp.2 SEM-2008 nr. intacta","ROGA022",1
"Arctornis sp.3 SEM-2008 nr. intacta","BETH002",1
