"i","j","Parasitoid-Caterpillar | All","Parasitoid-Caterpillar | Common caterpillars","Parasitoid-Caterpillar | Common plants","Caterpillar-Plant | All","Caterpillar-Plant | Common caterpillars","Caterpillar-Plant | Common plants"
"Elem","Morox",0.851301115241636,0.836734693877551,0.838509316770186,0.757009345794392,0.627272727272727,0.617224880382775
"Elem","Niksek",0.786096256684492,0.781609195402299,0.771428571428571,0.629834254143646,0.493212669683258,0.59825327510917
"Elem","Ohu1",0.831775700934579,0.815217391304348,0.811594202898551,0.68939393939394,0.553113553113553,0.535055350553506
"Elem","Utai",0.841121495327103,0.830845771144279,0.815602836879433,0.736842105263158,0.644859813084112,0.604060913705584
"Elem","Wamangu",0.772972972972973,0.746987951807229,0.758389261744966,0.694117647058824,0.550660792951542,0.525547445255474
"Elem","Wanang",0.844827586206897,0.828571428571429,0.822222222222222,0.60233918128655,0.505154639175258,0.548387096774194
"Elem","Yapsiei",0.835897435897436,0.822222222222222,0.819672131147541,0.675949367088608,0.561643835616438,0.551724137931034
"Morox","Niksek",0.878980891719745,0.867595818815331,0.881081081081081,0.841584158415842,0.744292237442922,0.683168316831683
"Morox","Ohu1",0.865102639296188,0.845117845117845,0.825136612021858,0.617543859649123,0.431734317343173,0.622950819672131
"Morox","Utai",0.917888563049853,0.910828025477707,0.924731182795699,0.734597156398104,0.650943396226415,0.647058823529412
"Morox","Wamangu",0.814102564102564,0.792114695340502,0.804123711340206,0.614561027837259,0.422222222222222,0.578947368421053
"Morox","Wanang",0.901234567901235,0.89908256880734,0.896296296296296,0.71875,0.5625,0.568421052631579
"Morox","Yapsiei",0.875776397515528,0.863481228668942,0.868263473053892,0.821510297482838,0.723502304147465,0.678048780487805
"Niksek","Ohu1",0.876447876447876,0.867256637168142,0.839506172839506,0.813492063492063,0.683823529411765,0.674242424242424
"Niksek","Utai",0.861003861003861,0.851851851851852,0.878787878787879,0.702247191011236,0.605633802816901,0.663157894736842
"Niksek","Wamangu",0.843478260869565,0.826923076923077,0.826589595375723,0.775561097256858,0.619469026548673,0.662921348314607
"Niksek","Wanang",0.888198757763975,0.877551020408163,0.894736842105263,0.767295597484277,0.678756476683938,0.647619047619048
"Niksek","Yapsiei",0.833333333333333,0.81981981981982,0.849315068493151,0.638814016172507,0.495412844036697,0.564444444444444
"Ohu1","Utai",0.923076923076923,0.91304347826087,0.901840490797546,0.743295019157088,0.630188679245283,0.698275862068966
"Ohu1","Wamangu",0.821011673151751,0.798165137614679,0.777777777777778,0.619047619047619,0.424460431654676,0.508090614886731
"Ohu1","Wanang",0.893617021276596,0.872611464968153,0.892857142857143,0.68595041322314,0.551020408163265,0.619047619047619
"Ohu1","Yapsiei",0.917602996254682,0.905172413793103,0.888888888888889,0.798882681564246,0.696296296296296,0.647940074906367
"Utai","Wamangu",0.844357976653696,0.829787234042553,0.850574712643678,0.737470167064439,0.625570776255708,0.625531914893617
"Utai","Wanang",0.914893617021277,0.908045977011494,0.878260869565217,0.773809523809524,0.666666666666667,0.573033707865168
"Utai","Yapsiei",0.857677902621723,0.847389558232932,0.918367346938776,0.753213367609255,0.611374407582938,0.772020725388601
"Wamangu","Wanang",0.849056603773585,0.827338129496403,0.83739837398374,0.711286089238845,0.577889447236181,0.568627450980392
"Wamangu","Yapsiei",0.831932773109244,0.822429906542056,0.819354838709677,0.769585253456221,0.669642857142857,0.62962962962963
"Wanang","Yapsiei",0.869822485207101,0.856209150326797,0.875,0.806267806267806,0.717277486910995,0.68075117370892
