"locality","CAT_sp","N_total","N_parasitized","N_par_species","parasitism_rate"
"Elem","Acontiinae sp. AAG0292",1,0,0,0
"Elem","Addaea nr. probolopsis",1,0,0,0
"Elem","Addaea pusilla",124,9,3,0.0725806451612903
"Elem","Adoxophyes fasciculana",3,0,0,0
"Elem","Adoxophyes sp. AAA9592",5,0,0,0
"Elem","Adoxophyes sp. AAB5052",2,0,0,0
"Elem","Adoxophyes templana complex",1,0,0,0
"Elem","Adoxophyes thoracica",3,0,0,0
"Elem","Adoxophyes tripselia",29,1,1,0.0344827586206897
"Elem","Agriophara sp. AAD4602",2,0,0,0
"Elem","Agrotera ignepictoides",1,0,0,0
"Elem","Agrotera nr. effertalis",4,0,0,0
"Elem","Albinospila sp. AAB0430",20,0,0,0
"Elem","Albinospila sp. AAB0431",1,0,0,0
"Elem","Albinospila sp. AAB0432",7,0,0,0
"Elem","Albinospila syntyche",6,0,0,0
"Elem","Arctornis sp.1 SEM-2008 nr. intacta",3,0,0,0
"Elem","Arctornis sp.2 SEM-2008 nr. intacta",1,0,0,0
"Elem","Arna nr. galactopis",2,0,0,0
"Elem","Asota eusemioides",10,0,0,0
"Elem","Brenthia sp. AAC1202",3,0,0,0
"Elem","Brenthia sp. AAC1206",14,4,2,0.285714285714286
"Elem","Brenthia sp. AAI3833",2,0,0,0
"Elem","Brenthia sp. JR22",19,0,0,0
"Elem","Brenthia sp. JR24",2,0,0,0
"Elem","Brenthia sp. JR32",11,3,1,0.272727272727273
"Elem","Brenthia sp. JR34",59,13,6,0.220338983050847
"Elem","Brenthia sp. JR37",1,0,0,0
"Elem","Brenthia sp. JR53",6,0,0,0
"Elem","Brenthia sp. JR54",114,35,8,0.307017543859649
"Elem","Brenthia sp. JR62",23,4,2,0.173913043478261
"Elem","Catoria delectaria",1,0,0,0
"Elem","Chora huntei",12,0,0,0
"Elem","Choreutis basalis",31,4,2,0.129032258064516
"Elem","Choreutis cf. anthorma",87,24,5,0.275862068965517
"Elem","Choreutis lutescens",14,3,3,0.214285714285714
"Elem","Choreutis sp. JR09",1,0,0,0
"Elem","Choreutis sp. JR2",12,0,0,0
"Elem","Choreutis sp. JR5",3,0,0,0
"Elem","Choreutis tricyanitis",2,0,0,0
"Elem","Chrysocraspeda praegriseata",3,0,0,0
"Elem","Chrysocraspeda sp. AAC8547",1,0,0,0
"Elem","Cirrhochrista xanthographis",1,0,0,0
"Elem","Cleora repetita",1,0,0,0
"Elem","Coelorhyncidia nitidalis",8,0,0,0
"Elem","Cryptoblabes sp. AAG0395",3,0,0,0
"Elem","Cyrestis acilia",12,0,0,0
"Elem","Dichomeris n. sp. nr. ochreoviridella",85,4,4,0.0470588235294118
"Elem","Dichomeris ochreoviridella",10,0,0,0
"Elem","Dichomeris sp. XXXX068",137,2,1,0.0145985401459854
"Elem","Dizuga recusataria",101,0,0,0
"Elem","Euploea leucostictos",4,0,0,0
"Elem","Gauna phaealis",1,0,0,0
"Elem","Gelechiidae sp. AAL8352",1,0,0,0
"Elem","Gelechioidea sp.XXXX126",1,0,0,0
"Elem","Geometridae sp.GEOM056",1,1,1,1
"Elem","Glyphodes margaritaria",20,3,3,0.15
"Elem","Glyphodes pseudocaesalis",1,0,0,0
"Elem","Gymnasura sp. USNM2",1,0,0,0
